seller_id,registration_date,business_category,identity_consistency_score,email_domain_age_days,device_id,ip_hash,is_fraud,fraud_type
S000913,2025-12-24,Beauty,0.851,2039,D004374,IP004249,False,none
S000914,2025-08-05,Toys,0.922,1591,D000309,IP006687,False,none
S000915,2025-06-17,Home & Kitchen,0.796,2319,D000227,IP004264,False,none
S000916,2025-07-18,Toys,0.919,720,D000386,IP009141,False,none
S000917,2025-10-14,Fashion,0.704,2902,D007672,IP009077,False,none
S000918,2025-04-03,Beauty,0.804,375,D004466,IP006441,False,none
S000919,2025-08-21,Automotive Parts,0.729,1754,D007517,IP004584,False,none
S000920,2025-11-15,Grocery,0.79,1023,D008349,IP005969,False,none
S000921,2025-07-28,Fashion,0.975,2713,D000361,IP009000,False,none
S000922,2025-06-12,Home & Kitchen,0.789,735,D008476,IP003003,False,none
S000923,2025-02-22,Home & Kitchen,0.922,1926,D002256,IP008686,False,none
S000924,2025-04-01,Home & Kitchen,1.0,469,D004043,IP005909,False,none
S000925,2025-12-12,Books,0.847,546,D009629,IP000635,False,none
S000926,2025-07-17,Jewelry,0.949,1249,D003016,IP007497,False,none
S000927,2025-04-20,Grocery,0.903,2398,D009398,IP002022,False,none
S000928,2025-06-02,Toys,0.862,835,D005066,IP005155,True,bust_out
S000929,2025-07-30,Fashion,0.925,2081,D000133,IP009504,False,none
S000930,2025-07-16,Fashion,1.0,1714,D008325,IP007796,False,none
S000931,2025-09-13,Jewelry,0.786,2933,D000443,IP006995,False,none
S000932,2025-04-04,Books,0.754,902,D006364,IP000696,True,account_takeover
S000933,2025-08-25,Sports,0.748,731,D004583,IP008591,False,none
S000934,2025-06-11,Sports,0.949,2707,D001398,IP003353,False,none
S000935,2025-12-10,Jewelry,0.963,1000,D005146,IP000501,False,none
S000936,2025-02-27,Jewelry,0.796,644,D003622,IP009598,False,none
S000937,2025-02-24,Electronics,0.636,2464,D000985,IP001907,False,none
S000938,2025-06-18,Beauty,0.783,2438,D005554,IP003234,False,none
S000939,2025-07-05,Electronics,0.905,189,D000438,IP001421,False,none
S000940,2025-09-10,Beauty,0.843,2568,D005382,IP006218,False,none
S000941,2025-05-28,Books,0.868,1899,D002260,IP008678,False,none
S000942,2025-11-30,Home & Kitchen,0.798,837,D008306,IP005198,False,none
S000943,2025-06-23,Fashion,0.951,1606,D009502,IP008693,False,none
S000944,2025-02-17,Toys,0.884,716,D009321,IP009366,False,none
S000945,2025-02-13,Sports,0.909,507,D009376,IP008725,False,none
S000946,2025-12-22,Grocery,0.866,397,D001004,IP001627,False,none
S000947,2025-02-18,Electronics,0.902,496,D005097,IP002060,False,none
S000948,2025-12-12,Home & Kitchen,0.896,1748,D002244,IP002993,False,none
S000949,2025-04-12,Grocery,0.757,2430,D000967,IP006381,False,none
S000950,2025-02-04,Books,0.887,1459,D003921,IP008623,False,none
S000951,2025-04-22,Jewelry,0.929,47,D004293,IP003128,False,none
S000952,2025-08-13,Jewelry,0.966,1286,D002963,IP006662,False,none
S000953,2025-06-06,Jewelry,0.892,2240,D001141,IP001872,False,none
S000954,2025-10-14,Sports,0.371,2506,D004082,IP005430,True,collusion
S000955,2025-08-12,Automotive Parts,0.769,2198,D001553,IP007797,False,none
S000956,2025-05-27,Toys,0.806,1108,D000407,IP003949,True,bust_out
S000957,2025-08-20,Automotive Parts,0.869,1949,D004513,IP001631,False,none
S000958,2025-12-21,Beauty,0.838,206,D000660,IP004113,False,none
S000959,2025-05-31,Toys,0.738,1229,D009659,IP007621,False,none
S000960,2025-02-26,Books,0.737,1610,D008383,IP009349,False,none
S000961,2025-05-30,Beauty,0.64,85,D009258,IP006161,False,none
S000962,2025-11-03,Fashion,0.538,44,D001025,IP006710,False,none
S000963,2025-03-21,Jewelry,0.837,2405,D004649,IP004193,False,none
S000964,2025-12-13,Toys,1.0,661,D008240,IP009290,False,none
S000965,2025-08-03,Automotive Parts,1.0,377,D005755,IP008699,False,none
S000966,2025-08-08,Beauty,0.752,1776,D003065,IP009721,False,none
S000967,2025-04-26,Automotive Parts,0.865,843,D008315,IP008633,False,none
S000968,2025-12-02,Books,0.704,2938,D003092,IP005470,False,none
S000969,2025-01-14,Grocery,0.719,2840,D009738,IP009604,True,triangulation
S000970,2025-04-20,Grocery,0.73,2472,D001007,IP006098,False,none
S000971,2025-06-02,Home & Kitchen,0.827,906,D007059,IP006015,False,none
S000972,2025-06-24,Jewelry,0.832,2626,D000132,IP006563,False,none
S000973,2025-06-23,Automotive Parts,0.875,766,D009142,IP001858,False,none
S000974,2025-02-23,Books,0.916,719,D003552,IP008391,False,none
S000975,2025-03-24,Automotive Parts,0.816,2920,D000203,IP003627,False,none
S000976,2025-02-04,Jewelry,0.854,2022,D008353,IP006590,False,none
S000977,2025-07-28,Books,0.741,258,D009674,IP008442,False,none
S000978,2025-05-09,Toys,0.716,2659,D009199,IP001146,True,bust_out
S000979,2025-07-26,Jewelry,0.7,482,D004857,IP003008,False,none
S000980,2025-08-04,Fashion,0.915,2044,D000615,IP009424,False,none
S000981,2025-09-14,Sports,0.816,1315,D002277,IP003610,False,none
S000982,2025-07-19,Jewelry,0.663,53,D000309,IP006609,False,none
S000983,2025-08-25,Automotive Parts,0.844,2363,D000443,IP005616,False,none
S000984,2025-08-03,Home & Kitchen,0.725,2060,D001588,IP008699,False,none
S000985,2025-08-27,Electronics,1.0,2653,D005631,IP005103,False,none
S000986,2025-08-14,Beauty,0.792,1835,D007662,IP004247,False,none
S000987,2025-04-26,Jewelry,0.918,2267,D005848,IP000164,False,none
S000988,2025-03-31,Sports,0.959,2718,D002048,IP004747,False,none
S000989,2025-10-15,Electronics,0.755,2928,D006017,IP005851,False,none
S000990,2025-05-06,Fashion,0.858,1682,D002308,IP006888,False,none
S000991,2025-07-20,Beauty,0.905,51,D004610,IP007801,False,none
S000992,2025-03-13,Beauty,0.862,1038,D008889,IP007764,False,none
S000993,2025-06-07,Fashion,0.886,1858,D001345,IP004592,False,none
S000994,2025-07-13,Toys,0.717,329,D008749,IP000784,False,none
S000995,2025-08-17,Toys,0.905,349,D002709,IP002543,False,none
S000996,2025-07-12,Fashion,0.801,1185,D006702,IP004073,False,none
S000997,2025-05-12,Home & Kitchen,0.885,2731,D002612,IP009789,False,none
S000998,2025-12-18,Books,0.942,965,D001640,IP007698,False,none
S000999,2025-07-07,Automotive Parts,0.917,2805,D004504,IP008945,False,none
S001000,2025-10-23,Automotive Parts,0.885,2409,D003811,IP009922,False,none
S001001,2025-09-26,Sports,0.914,909,D005074,IP001331,False,none
S001002,2025-07-23,Electronics,0.919,693,D002361,IP000116,False,none
S001003,2025-11-20,Jewelry,1.0,2483,D009783,IP005739,False,none
S001004,2025-02-16,Automotive Parts,0.847,2268,D006718,IP002648,False,none
S001005,2025-12-03,Home & Kitchen,0.866,1891,D008406,IP008688,False,none
S001006,2025-11-07,Toys,0.943,2934,D007799,IP004648,False,none
S001007,2025-07-03,Electronics,0.801,302,D007241,IP000093,False,none
S001008,2025-09-25,Jewelry,0.716,1157,D001421,IP002229,False,none
S001009,2025-07-09,Grocery,0.899,1808,D005880,IP003415,False,none
S001010,2025-04-09,Electronics,0.829,216,D008979,IP000269,True,stolen_goods
S001011,2025-10-19,Grocery,0.729,2928,D000961,IP003173,False,none
S001012,2025-03-31,Toys,0.9,1715,D004628,IP005395,True,account_takeover
S001013,2025-04-25,Sports,0.993,924,D001843,IP008932,True,triangulation
S001014,2025-07-09,Home & Kitchen,0.687,718,D007950,IP006493,False,none
S001015,2025-11-02,Jewelry,0.952,4,D009313,IP000932,False,none
S001016,2025-05-21,Toys,0.596,1778,D000516,IP004160,False,none
S001017,2025-06-30,Jewelry,0.81,2930,D008013,IP007686,False,none
S001018,2025-01-16,Fashion,1.0,109,D003605,IP003698,False,none
S001019,2025-02-12,Sports,0.817,1242,D009638,IP005631,False,none
S001020,2025-01-21,Beauty,0.859,1986,D000147,IP009856,False,none
S001021,2025-01-27,Automotive Parts,0.926,1293,D001914,IP001378,False,none
S001022,2025-11-14,Sports,0.678,1953,D007184,IP004775,False,none
S001023,2025-11-04,Grocery,0.857,2138,D007784,IP006096,False,none
S001024,2025-10-27,Electronics,0.856,2896,D000794,IP007980,False,none
S001025,2025-01-21,Books,1.0,1813,D001600,IP008368,False,none
S001026,2025-01-29,Fashion,0.726,2129,D003382,IP002871,False,none
S001027,2025-04-13,Beauty,0.812,906,D000348,IP004668,False,none
S001028,2025-07-26,Home & Kitchen,0.757,453,D007817,IP008301,False,none
S001029,2025-05-02,Electronics,0.747,300,D006696,IP008389,False,none
S001030,2025-06-27,Sports,0.963,328,D007489,IP008236,False,none
S001031,2025-03-05,Home & Kitchen,0.853,2482,D004696,IP006676,False,none
S001032,2025-09-24,Sports,0.794,122,D006402,IP002677,False,none
S001033,2025-04-25,Grocery,0.798,1450,D005727,IP003682,False,none
S001034,2025-01-25,Fashion,0.794,1840,D006940,IP006558,False,none
S001035,2025-09-29,Grocery,0.803,2017,D004505,IP002543,False,none
S001036,2025-11-26,Home & Kitchen,0.724,198,D006512,IP006820,False,none
S001037,2025-01-06,Beauty,0.824,2581,D006453,IP005150,False,none
S001038,2025-06-09,Sports,0.814,1312,D006412,IP004426,False,none
S001039,2025-10-29,Books,0.774,54,D008724,IP003554,False,none
S001040,2025-09-15,Books,0.866,399,D003496,IP007737,False,none
S001041,2025-11-09,Fashion,0.874,2578,D008789,IP004654,False,none
S001042,2025-06-01,Sports,0.794,2829,D000281,IP003068,False,none
S001043,2025-05-16,Home & Kitchen,0.836,2255,D004861,IP003839,False,none
S001044,2025-09-16,Home & Kitchen,1.0,1000,D004418,IP004842,False,none
S001045,2025-02-26,Automotive Parts,1.0,2840,D008680,IP006175,False,none
S001046,2025-03-29,Fashion,0.745,827,D000454,IP009901,False,none
S001047,2025-08-08,Toys,0.432,13,D002167,IP003404,True,synthetic_identity
S001048,2025-09-01,Toys,0.744,2295,D004688,IP001786,False,none
S001049,2025-02-13,Home & Kitchen,0.956,967,D008154,IP009779,False,none
S001050,2025-07-05,Grocery,0.81,1560,D004640,IP001477,False,none
S001051,2025-05-14,Toys,0.874,1984,D006389,IP009037,False,none
S001052,2025-07-03,Grocery,1.0,499,D001787,IP001421,False,none
S001053,2025-12-16,Beauty,0.849,2777,D009432,IP003638,False,none
S001054,2025-01-28,Jewelry,0.921,499,D007842,IP009981,False,none
S001055,2025-12-30,Grocery,0.902,2978,D000429,IP001656,False,none
S001056,2025-06-14,Beauty,0.791,832,D007042,IP001599,False,none
S001057,2025-10-09,Automotive Parts,0.956,1250,D001294,IP006091,True,bust_out
S001058,2025-06-04,Jewelry,0.765,760,D005595,IP001902,False,none
S001059,2025-04-24,Sports,0.984,1618,D007084,IP000243,False,none
S001060,2025-10-09,Electronics,0.791,3,D009259,IP006947,False,none
S001061,2025-09-08,Sports,0.802,512,D000705,IP009593,False,none
S001062,2025-02-22,Books,0.741,1558,D002871,IP007594,False,none
S001063,2025-09-15,Beauty,0.758,2082,D006903,IP009642,False,none
S001064,2025-10-02,Fashion,0.807,2888,D002620,IP005270,True,triangulation
S001065,2025-05-22,Sports,0.607,2512,D007125,IP006140,False,none
S001066,2025-12-04,Jewelry,0.827,2765,D001834,IP009826,False,none
S001067,2025-08-22,Beauty,0.799,2396,D001635,IP005037,False,none
S001068,2025-05-02,Toys,0.929,2329,D005444,IP000389,False,none
S001069,2025-01-04,Electronics,0.892,1038,D006891,IP002388,False,none
S001070,2025-09-04,Grocery,0.779,2715,D002053,IP006208,False,none
S001071,2025-03-18,Jewelry,0.804,2889,D008739,IP008573,False,none
S001072,2025-10-04,Grocery,0.827,1541,D008688,IP006064,False,none
S001073,2025-07-11,Toys,0.999,361,D000812,IP004056,False,none
S001074,2025-06-20,Electronics,0.768,128,D003043,IP003212,False,none
S001075,2025-03-01,Toys,0.778,1482,D005561,IP006832,False,none
S001076,2025-09-17,Automotive Parts,0.737,1904,D004909,IP008994,False,none
S001077,2025-03-02,Electronics,0.702,1664,D002549,IP002780,False,none
S001078,2025-06-02,Home & Kitchen,0.881,2688,D005295,IP005528,False,none
S001079,2025-11-02,Jewelry,0.87,1610,D009627,IP004274,False,none
S001080,2025-12-02,Sports,0.978,1983,D003076,IP002463,False,none
S001081,2025-12-28,Fashion,0.954,2273,D002190,IP004052,False,none
S001082,2025-12-16,Electronics,1.0,2684,D007384,IP000883,False,none
S001083,2025-07-22,Toys,0.843,1829,D005706,IP005301,False,none
S001084,2025-03-15,Sports,0.824,1672,D006920,IP001071,False,none
S001085,2025-11-03,Jewelry,0.72,232,D006463,IP004740,False,none
S001086,2025-10-20,Jewelry,0.92,1927,D007608,IP008973,False,none
S001087,2025-12-28,Toys,0.862,540,D007292,IP001457,False,none
S001088,2025-08-26,Toys,0.915,1106,D006059,IP002503,False,none
S001089,2025-02-21,Automotive Parts,0.736,1597,D004544,IP007210,False,none
S001090,2025-07-03,Grocery,0.885,248,D004601,IP009070,False,none
S001091,2025-06-13,Home & Kitchen,0.871,2083,D002653,IP009555,False,none
S001092,2025-11-04,Books,0.864,842,D004489,IP001201,False,none
S001093,2025-05-24,Grocery,0.782,1543,D006050,IP002391,False,none
S001094,2025-04-30,Home & Kitchen,0.969,1051,D007165,IP009839,False,none
S001095,2025-01-30,Automotive Parts,0.329,5,D007729,IP005056,True,synthetic_identity
S001096,2025-11-01,Home & Kitchen,0.739,1181,D003770,IP008333,False,none
S001097,2025-10-03,Sports,0.922,154,D007329,IP000144,False,none
S001098,2025-01-16,Toys,0.562,586,D004372,IP001162,True,stolen_goods
S001099,2025-06-08,Books,0.917,2357,D003583,IP002043,False,none
S001100,2025-06-25,Automotive Parts,0.663,366,D001636,IP000860,False,none
S001101,2025-06-21,Beauty,0.798,1492,D002658,IP008908,False,none
S001102,2025-12-02,Beauty,0.719,420,D006796,IP008034,False,none
S001103,2025-02-24,Grocery,0.828,1616,D002164,IP003903,False,none
S001104,2025-04-22,Automotive Parts,0.934,1931,D000769,IP000780,True,bust_out
S001105,2025-03-08,Automotive Parts,0.664,1407,D002719,IP001061,False,none
S001106,2025-03-31,Grocery,0.814,2314,D009905,IP002621,False,none
S001107,2025-11-28,Grocery,0.799,796,D001497,IP007270,False,none
S001108,2025-12-10,Grocery,1.0,1674,D001437,IP008012,False,none
S001109,2025-01-17,Automotive Parts,0.893,829,D004031,IP005393,False,none
S001110,2025-08-19,Electronics,0.732,1527,D003829,IP009075,False,none
S001111,2025-03-26,Sports,0.803,191,D009203,IP009281,False,none
S001112,2025-03-12,Electronics,1.0,807,D002377,IP007676,False,none
S001113,2025-04-17,Sports,0.921,2123,D004172,IP000787,False,none
S001114,2025-03-12,Beauty,0.758,2334,D002906,IP008898,False,none
S001115,2025-06-28,Beauty,0.823,816,D002498,IP009083,False,none
S001116,2025-12-30,Jewelry,0.826,775,D003224,IP005598,False,none
S001117,2025-08-03,Grocery,0.796,896,D002571,IP005991,False,none
S001118,2025-09-21,Sports,0.679,838,D007183,IP007796,False,none
S001119,2025-06-30,Jewelry,0.782,2980,D007901,IP005923,True,stolen_goods
S001120,2025-01-06,Electronics,0.989,1953,D001767,IP003441,False,none
S001121,2025-01-31,Books,0.812,1158,D004959,IP006969,False,none
S001122,2025-04-09,Fashion,0.84,1386,D002638,IP007852,False,none
S001123,2025-03-30,Home & Kitchen,0.864,1532,D008675,IP001415,False,none
S001124,2025-11-03,Fashion,1.0,1659,D001012,IP006797,False,none
S001125,2025-11-04,Sports,0.851,1160,D004091,IP001732,False,none
S001126,2025-11-08,Books,0.959,2923,D003314,IP005748,False,none
S001127,2025-08-21,Grocery,0.79,871,D003634,IP001078,False,none
S001128,2025-07-23,Toys,0.824,1282,D009412,IP009923,False,none
S001129,2025-08-25,Automotive Parts,0.851,18,D005407,IP006678,False,none
S001130,2025-05-29,Beauty,0.773,1475,D003801,IP004697,False,none
S001131,2025-09-02,Fashion,0.83,2564,D008079,IP005038,True,triangulation
S001132,2025-10-17,Electronics,0.939,2991,D007773,IP006192,False,none
S001133,2025-10-06,Fashion,0.77,1419,D001448,IP001246,False,none
S001134,2025-08-13,Toys,0.85,419,D004617,IP005099,False,none
S001135,2025-01-22,Toys,0.921,2159,D004120,IP007158,False,none
S001136,2025-09-22,Jewelry,0.768,1922,D004495,IP002605,False,none
S001137,2025-05-14,Fashion,0.96,2876,D003489,IP004793,False,none
S001138,2025-09-29,Home & Kitchen,0.857,1515,D008239,IP003303,False,none
S001139,2025-07-16,Automotive Parts,0.833,9,D009959,IP001610,False,none
S001140,2025-11-18,Electronics,0.649,2702,D000268,IP009787,False,none
S001141,2025-05-04,Toys,0.813,2025,D008566,IP005927,False,none
S001142,2025-12-06,Fashion,0.887,2400,D008648,IP003921,False,none
S001143,2025-11-05,Sports,1.0,356,D003655,IP003382,False,none
S001144,2025-05-01,Automotive Parts,0.907,1372,D004852,IP006794,False,none
S001145,2025-06-26,Home & Kitchen,0.963,1374,D001020,IP001082,False,none
S001146,2025-07-13,Beauty,0.729,803,D003511,IP005670,False,none
S001147,2025-10-08,Toys,0.837,2540,D002382,IP002302,False,none
S001148,2025-09-09,Grocery,0.972,564,D009068,IP008898,False,none
S001149,2025-11-07,Automotive Parts,0.761,215,D001070,IP007842,False,none
S001150,2025-05-16,Electronics,0.947,703,D003398,IP007576,False,none
S001151,2025-07-04,Toys,0.923,2968,D004809,IP001458,False,none
S001152,2025-06-07,Grocery,0.877,341,D009776,IP000806,False,none
S001153,2025-11-28,Electronics,0.817,1742,D008173,IP004584,False,none
S001154,2025-04-22,Jewelry,0.751,550,D009363,IP003554,False,none
S001155,2025-08-03,Home & Kitchen,1.0,1185,D003101,IP007242,False,none
S001156,2025-02-13,Sports,0.913,1655,D002679,IP007119,False,none
S001157,2025-11-07,Automotive Parts,0.884,59,D005713,IP003972,False,none
S001158,2025-05-21,Books,0.809,724,D003406,IP001613,False,none
S001159,2025-05-05,Automotive Parts,0.854,1760,D000158,IP003242,False,none
S001160,2025-08-01,Books,0.866,44,D008121,IP005034,False,none
S001161,2025-07-02,Home & Kitchen,0.89,1485,D000948,IP002535,False,none
S001162,2025-11-06,Books,0.923,1811,D001956,IP003177,False,none
S001163,2025-07-13,Books,0.772,646,D009432,IP002407,False,none
S001164,2025-07-08,Beauty,0.703,487,D007319,IP000647,False,none
S001165,2025-02-08,Electronics,0.858,1471,D006424,IP006012,False,none
S001166,2025-01-09,Books,0.675,2156,D001291,IP009971,False,none
S001167,2025-05-26,Sports,0.818,39,D002507,IP009519,False,none
S001168,2025-12-31,Grocery,0.799,1014,D002056,IP009293,False,none
S001169,2025-12-01,Fashion,0.899,2998,D006413,IP006589,False,none
S001170,2025-08-18,Sports,1.0,1007,D005005,IP007475,False,none
S001171,2025-08-19,Jewelry,0.656,997,D003605,IP000642,False,none
S001172,2025-05-23,Jewelry,1.0,2213,D007458,IP002010,False,none
S001173,2025-03-06,Automotive Parts,0.827,1441,D007779,IP007061,False,none
S001174,2025-01-04,Home & Kitchen,0.885,1174,D007394,IP009885,False,none
S001175,2025-05-04,Fashion,0.709,2354,D001057,IP009082,False,none
S001176,2025-04-26,Sports,0.95,93,D006089,IP006307,False,none
S001177,2025-03-11,Toys,0.854,2138,D002100,IP001089,False,none
S001178,2025-04-05,Home & Kitchen,0.844,1142,D002721,IP009660,False,none
S001179,2025-01-10,Fashion,0.656,2665,D009783,IP003179,False,none
S001180,2025-08-10,Fashion,0.857,2175,D004153,IP000425,False,none
S001181,2025-12-05,Beauty,0.935,2824,D007875,IP007682,False,none
S001182,2025-09-10,Grocery,0.826,387,D002462,IP001734,False,none
S001183,2025-06-13,Electronics,0.967,568,D009723,IP003016,False,none
S001184,2025-06-03,Fashion,0.963,2709,D002770,IP006772,False,none
S001185,2025-04-23,Home & Kitchen,0.786,1171,D001819,IP009653,False,none
S001186,2025-02-21,Jewelry,1.0,2446,D003232,IP009071,False,none
S001187,2025-08-07,Automotive Parts,0.855,2060,D001734,IP001636,True,stolen_goods
S001188,2025-07-26,Toys,0.855,1499,D005988,IP001757,False,none
S001189,2025-01-03,Electronics,0.86,136,D001440,IP008090,False,none
S001190,2025-06-01,Electronics,0.857,222,D002075,IP003170,False,none
S001191,2025-04-12,Jewelry,0.587,2151,D007021,IP000779,False,none
S001192,2025-03-04,Toys,0.831,292,D000425,IP005881,False,none
S001193,2025-09-14,Electronics,0.714,15,D004404,IP006570,False,none
S001194,2025-07-11,Jewelry,1.0,659,D006924,IP009996,False,none
S001195,2025-08-20,Sports,1.0,2742,D004454,IP004863,False,none
S001196,2025-09-18,Beauty,0.935,1879,D000218,IP007996,False,none
S001197,2025-12-25,Toys,0.826,2154,D001580,IP005343,False,none
S001198,2025-10-21,Home & Kitchen,0.749,1956,D009707,IP009235,False,none
S001199,2025-08-15,Automotive Parts,0.784,1696,D007721,IP004873,False,none
S001200,2025-11-17,Grocery,1.0,769,D003502,IP006750,False,none
S001201,2025-06-24,Fashion,0.781,1287,D008736,IP009632,False,none
S001202,2025-12-26,Grocery,0.614,1634,D000065,IP008773,False,none
S001203,2025-10-05,Fashion,0.953,2964,D000473,IP004010,False,none
S001204,2025-08-26,Toys,1.0,2697,D008845,IP005070,False,none
S001205,2025-11-26,Grocery,1.0,2209,D006742,IP005927,False,none
S001206,2025-07-08,Electronics,0.954,2440,D005998,IP001241,False,none
S001207,2025-09-21,Grocery,0.97,2422,D003445,IP002334,False,none
S001208,2025-04-14,Home & Kitchen,0.855,2003,D008173,IP007095,False,none
S001209,2025-12-18,Books,0.642,2476,D006081,IP000716,False,none
S001210,2025-08-16,Toys,0.853,220,D004350,IP006014,False,none
S001211,2025-10-13,Electronics,0.912,66,D003805,IP004848,False,none
S001212,2025-06-18,Grocery,0.663,1333,D003541,IP004853,True,collusion
S001213,2025-11-13,Home & Kitchen,0.832,164,D005753,IP008459,False,none
S001214,2025-01-28,Automotive Parts,0.754,1018,D006551,IP002749,False,none
S001215,2025-02-11,Jewelry,0.75,595,D008047,IP007908,False,none
S001216,2025-07-05,Fashion,1.0,2873,D004060,IP007842,False,none
S001217,2025-09-25,Books,1.0,1965,D002538,IP009925,False,none
S001218,2025-10-23,Beauty,0.85,126,D005562,IP008204,True,bust_out
S001219,2025-06-10,Books,0.878,1872,D005834,IP005069,False,none
S001220,2025-08-26,Sports,0.752,2197,D002778,IP003641,False,none
S001221,2025-07-21,Home & Kitchen,0.914,976,D000732,IP007810,False,none
S001222,2025-12-17,Books,1.0,2648,D003326,IP009277,False,none
S001223,2025-08-27,Home & Kitchen,0.697,2919,D000705,IP002808,False,none
S001224,2025-06-02,Automotive Parts,0.896,2942,D000821,IP003697,False,none
S001225,2025-12-20,Automotive Parts,0.904,280,D009659,IP004970,False,none
S001226,2025-02-09,Fashion,0.903,1347,D007813,IP001075,True,stolen_goods
S001227,2025-12-26,Grocery,1.0,2330,D000354,IP003142,False,none
S001228,2025-02-26,Automotive Parts,1.0,1328,D003488,IP001665,False,none
S001229,2025-04-16,Fashion,0.827,1443,D002546,IP007723,False,none
S001230,2025-10-27,Grocery,0.917,985,D009749,IP004945,True,bust_out
S001231,2025-09-25,Automotive Parts,0.858,1257,D004376,IP006037,False,none
S001232,2025-12-21,Home & Kitchen,0.787,2083,D002597,IP000798,False,none
S001233,2025-10-01,Sports,0.877,77,D006347,IP005734,False,none
S001234,2025-08-21,Grocery,0.917,2398,D004750,IP007184,False,none
S001235,2025-05-07,Beauty,0.872,2183,D001873,IP006893,True,triangulation
S001236,2025-01-02,Home & Kitchen,0.762,416,D003055,IP007950,False,none
S001237,2025-02-15,Beauty,0.804,2314,D001273,IP001140,False,none
S001238,2025-04-19,Beauty,0.804,1564,D006939,IP005494,False,none
S001239,2025-01-15,Grocery,0.766,957,D009706,IP004821,False,none
S001240,2025-07-05,Beauty,0.881,1366,D008083,IP008933,False,none
S001241,2025-10-11,Beauty,0.892,1551,D003753,IP006905,False,none
S001242,2025-12-18,Automotive Parts,0.948,632,D004870,IP009542,False,none
S001243,2025-06-28,Sports,0.764,1819,D000608,IP000253,False,none
S001244,2025-11-16,Automotive Parts,0.792,1888,D003669,IP004475,False,none
S001245,2025-12-26,Grocery,1.0,1103,D000320,IP007033,False,none
S001246,2025-11-10,Jewelry,0.834,1382,D007447,IP000891,False,none
S001247,2025-06-19,Fashion,0.853,1847,D009092,IP006512,False,none
S001248,2025-04-29,Automotive Parts,0.832,1511,D001914,IP002312,False,none
S001249,2025-12-23,Automotive Parts,0.963,1302,D006739,IP000743,False,none
S001250,2025-03-30,Electronics,0.967,2868,D005994,IP006576,False,none
S001251,2025-05-31,Beauty,0.961,2634,D004178,IP004264,False,none
S001252,2025-01-28,Toys,0.853,1139,D007336,IP004057,False,none
S001253,2025-10-17,Toys,0.763,2155,D006797,IP003254,False,none
S001254,2025-08-26,Grocery,1.0,2430,D002692,IP006850,False,none
S001255,2025-01-31,Books,0.936,332,D007984,IP006187,False,none
S001256,2025-03-23,Home & Kitchen,0.804,1775,D006556,IP006667,False,none
S001257,2025-07-22,Books,0.992,2399,D003124,IP007877,False,none
S001258,2025-07-17,Automotive Parts,0.796,173,D007352,IP006053,True,bust_out
S001259,2025-10-20,Toys,0.991,1013,D006406,IP000748,False,none
S001260,2025-04-08,Automotive Parts,0.578,2393,D001174,IP001578,True,collusion
S001261,2025-12-04,Books,0.758,2806,D001663,IP009915,False,none
S001262,2025-06-12,Automotive Parts,0.908,2977,D003239,IP002859,False,none
S001263,2025-10-28,Automotive Parts,0.928,1810,D000443,IP004276,False,none
S001264,2025-03-29,Electronics,1.0,128,D004063,IP003778,False,none
S001265,2025-01-14,Jewelry,0.776,83,D004615,IP009902,False,none
S001266,2025-01-21,Fashion,0.993,2433,D007759,IP008244,False,none
S001267,2025-05-17,Jewelry,0.852,2203,D001714,IP004834,False,none
S001268,2025-12-14,Jewelry,0.726,582,D005675,IP006822,False,none
S001269,2025-01-18,Home & Kitchen,0.838,393,D006646,IP005515,False,none
S001270,2025-05-15,Electronics,0.85,438,D004495,IP006449,True,bust_out
S001271,2025-02-09,Toys,0.744,2631,D009073,IP009539,True,stolen_goods
S001272,2025-12-07,Beauty,0.881,2294,D003187,IP006721,False,none
S001273,2025-09-04,Sports,0.946,2845,D004079,IP001128,False,none
S001274,2025-10-06,Electronics,0.874,341,D000040,IP005032,False,none
S001275,2025-09-18,Electronics,0.796,2086,D004107,IP008197,False,none
S001276,2025-08-28,Toys,0.835,2771,D000202,IP000396,False,none
S001277,2025-10-10,Grocery,0.85,1599,D009838,IP003570,False,none
S001278,2025-01-03,Beauty,0.872,2322,D002404,IP002011,False,none
S001279,2025-11-12,Beauty,0.961,1806,D008121,IP007210,True,stolen_goods
S001280,2025-09-28,Fashion,0.877,22,D001166,IP001403,False,none
S001281,2025-09-27,Home & Kitchen,0.71,1287,D002742,IP006240,False,none
S001282,2025-05-24,Home & Kitchen,0.794,784,D001195,IP000639,True,bust_out
S001283,2025-10-20,Home & Kitchen,0.867,251,D003687,IP009239,False,none
S001284,2025-05-20,Beauty,0.962,1787,D006027,IP003194,False,none
S001285,2025-01-18,Home & Kitchen,0.98,2786,D004198,IP004076,True,bust_out
S001286,2025-11-28,Books,1.0,162,D006054,IP007877,True,stolen_goods
S001287,2025-03-27,Beauty,0.863,988,D008063,IP003796,False,none
S001288,2025-02-07,Grocery,0.926,2009,D000447,IP001151,False,none
S001289,2025-08-15,Books,0.705,939,D004243,IP009048,False,none
S001290,2025-03-27,Books,0.893,350,D005939,IP001114,False,none
S001291,2025-11-10,Sports,0.742,574,D005234,IP004970,False,none
S001292,2025-06-11,Automotive Parts,0.844,74,D001458,IP001242,False,none
S001293,2025-01-02,Home & Kitchen,1.0,2977,D002066,IP006978,False,none
S001294,2025-12-14,Automotive Parts,0.88,1474,D003772,IP002698,False,none
